observaciones,pozos
14,CORINDON-568--
14,CORINDON-570--
14,CORINDON-571--
14,CORINDON-574--
14,CORINDON-576--
14,CORINDON-577--
14,CORINDON-579--
14,CORINDON-586--
14,CORINDON-589--
14,CORINDON-592--
14,CORINDON-594--
1,CORINDON-595--
14,CORINDON-596--
14,CORINDON-599--
14,CORINDON-6--
14,CORINDON-602--
14,CORINDON-603--
14,CORINDON-605--
14,CORINDON-606--
14,CORINDON-607--
14,CORINDON-610--
14,CORINDON-612--
14,CORINDON-613--
14,CORINDON-615--
14,CORINDON-617--
14,CORINDON-621--
14,CORINDON-627--
14,CORINDON-629--
14,CORINDON-631--
14,CORINDON-633--
14,CORINDON-636--
14,CORINDON-637--
14,CORINDON-639--
14,CORINDON-641--
14,CORINDON-647--
14,CORINDON-648--
12,CORINDON-655--
14,CORINDON-661--
14,CORINDON-666--
14,CORINDON-667--
14,CORINDON-669--
14,CORINDON-672--
14,CORINDON-673--
14,CORINDON-675--
14,CORINDON-679--
14,CORINDON-683--
14,CORINDON-685--
14,CORINDON-688--
14,CORINDON-689--
14,CORINDON-691--
14,CORINDON-698--
14,CORINDON-775--
14,CORINDON-777--
9,CORRALILLO-101--
9,CORRALILLO-112--
14,CORRALILLO-157--
6,CORRALILLO-1601--
14,CORRALILLO-1612--
14,CORRALILLO-1632--
13,CORRALILLO-1651--
14,CORRALILLO-1655--
3,CORRALILLO-1677--
14,CORRALILLO-1695--
14,CORRALILLO-2--
14,CORRALILLO-301--
14,CORRALILLO-302--
14,CORRALILLO-303--
14,CORRALILLO-304--
14,CORRALILLO-305--
13,CORRALILLO-306--
14,CORRALILLO-3067--
13,CORRALILLO-307--
9,CORRALILLO-308--
14,CORRALILLO-309--
13,CORRALILLO-3101--
14,CORRALILLO-3103--
14,CORRALILLO-3107--
14,CORRALILLO-311--
12,CORRALILLO-3113--
13,CORRALILLO-3116--
14,CORRALILLO-3119--
1,CORRALILLO-312--
14,CORRALILLO-3123--
13,CORRALILLO-313--
14,CORRALILLO-3135--
14,CORRALILLO-314--
14,CORRALILLO-3143--
13,CORRALILLO-3144--
13,CORRALILLO-3157--
14,CORRALILLO-316--
12,CORRALILLO-3163--
14,CORRALILLO-3165--
14,CORRALILLO-3166--
14,CORRALILLO-3167--
14,CORRALILLO-3169--
14,CORRALILLO-3179--
12,CORRALILLO-318--
13,CORRALILLO-3183--
11,CORRALILLO-3185--
11,CORRALILLO-3187--
13,CORRALILLO-3189--
12,CORRALILLO-319--
8,CORRALILLO-3202--
14,CORRALILLO-3204--
12,CORRALILLO-3206--
13,CORRALILLO-3212--
14,CORRALILLO-3214--
14,CORRALILLO-3216--
13,CORRALILLO-3218--
10,CORRALILLO-3224--
10,CORRALILLO-3226--
14,CORRALILLO-323--
13,CORRALILLO-3231--
13,CORRALILLO-3232--
13,CORRALILLO-3234-A
14,CORRALILLO-3236--
14,CORRALILLO-325--
14,CORRALILLO-326--
14,CORRALILLO-3266--
4,CORRALILLO-3268--
1,CORRALILLO-328--
14,CORRALILLO-3284--
9,CORRALILLO-3296--
10,CORRALILLO-331-A
14,CORRALILLO-332--
14,CORRALILLO-333--
14,CORRALILLO-334--
14,CORRALILLO-335--
14,CORRALILLO-336--
14,CORRALILLO-337--
14,CORRALILLO-338--
14,CORRALILLO-339--
14,CORRALILLO-341--
14,CORRALILLO-343--
14,CORRALILLO-346--
14,CORRALILLO-347--
1,CORRALILLO-348--
13,CORRALILLO-356--
14,CORRALILLO-358--
14,CORRALILLO-363--
14,CORRALILLO-364--
14,CORRALILLO-365--
14,CORRALILLO-374--
14,CORRALILLO-376--
14,CORRALILLO-378--
14,CORRALILLO-3780--
13,CORRALILLO-381--
14,CORRALILLO-383--
9,CORRALILLO-384--
14,CORRALILLO-385--
14,CORRALILLO-388--
14,CORRALILLO-394--
14,CORRALILLO-396--
13,CORRALILLO-3960--
14,CORRALILLO-398--
14,CORRALILLO-3980--
12,CORRALILLO-401--
12,CORRALILLO-403--
14,CORRALILLO-4038--
12,CORRALILLO-4068--
12,CORRALILLO-4078--
14,CORRALILLO-4088--
14,CORRALILLO-411--
12,CORRALILLO-412--
12,CORRALILLO-415--
12,CORRALILLO-423--
13,CORRALILLO-425--
13,CORRALILLO-427--
14,CORRALILLO-431--
14,CORRALILLO-438--
14,CORRALILLO-442--
12,CORRALILLO-443--
13,CORRALILLO-445--
14,CORRALILLO-447--
12,CORRALILLO-451--
14,CORRALILLO-453--
14,CORRALILLO-455--
12,CORRALILLO-457--
13,CORRALILLO-458--
13,CORRALILLO-461--
14,CORRALILLO-462--
13,CORRALILLO-463--
13,CORRALILLO-464--
12,CORRALILLO-465--
13,CORRALILLO-473--
13,CORRALILLO-475--
12,CORRALILLO-477--
14,CORRALILLO-48--
13,CORRALILLO-481--
12,CORRALILLO-482--
14,CORRALILLO-483--
13,CORRALILLO-484--
14,CORRALILLO-51--
14,CORRALILLO-582--
14,CORRALILLO-601--
12,CORRALILLO-602--
8,CORRALILLO-603--
14,CORRALILLO-604--
14,CORRALILLO-605--
14,CORRALILLO-606--
13,CORRALILLO-607--
14,CORRALILLO-608--
13,CORRALILLO-609--
14,CORRALILLO-611--
14,CORRALILLO-612--
14,CORRALILLO-613--
12,CORRALILLO-615--
14,CORRALILLO-617--
13,CORRALILLO-618--
14,CORRALILLO-619--
14,CORRALILLO-621--
4,CORRALILLO-622--
14,CORRALILLO-623--
14,CORRALILLO-624--
14,CORRALILLO-625--
14,CORRALILLO-626--
14,CORRALILLO-627--
13,CORRALILLO-629--
14,CORRALILLO-635--
14,CORRALILLO-636--
12,CORRALILLO-637--
14,CORRALILLO-638--
14,CORRALILLO-639--
14,CORRALILLO-641--
14,CORRALILLO-642--
14,CORRALILLO-644--
14,CORRALILLO-645--
14,CORRALILLO-646--
14,CORRALILLO-647--
14,CORRALILLO-648--
13,CORRALILLO-649--
14,CORRALILLO-656--
13,CORRALILLO-658--
14,CORRALILLO-662--
14,CORRALILLO-664--
14,CORRALILLO-665--
14,CORRALILLO-666--
13,CORRALILLO-667--
14,CORRALILLO-668--
14,CORRALILLO-669--
14,CORRALILLO-670--
4,CORRALILLO-671--
1,CORRALILLO-672--
14,CORRALILLO-674--
12,CORRALILLO-676--
11,CORRALILLO-678--
13,CORRALILLO-685--
14,CORRALILLO-6850--
13,CORRALILLO-687--
14,CORRALILLO-689--
14,CORRALILLO-6890--
1,CORRALILLO-692--
14,CORRALILLO-693--
14,CORRALILLO-694--
14,CORRALILLO-695--
12,CORRALILLO-706--
14,CORRALILLO-708--
13,CORRALILLO-728--
13,CORRALILLO-733--
14,CORRALILLO-735--
13,CORRALILLO-744--
12,CORRALILLO-746--
13,CORRALILLO-748--
14,CORRALILLO-757--
13,CORRALILLO-762--
14,CORRALILLO-764--
14,CORRALILLO-766--
14,CORRALILLO-768--
14,CORRALILLO-775--
13,CORRALILLO-782--
14,CORRALILLO-7830--
14,CORRALILLO-784--
14,CORRALILLO-785--
14,CORRALILLO-786--
14,CORRALILLO-788--
10,CORRALILLO-7880--
14,CORRALILLO-791--
14,CORRALILLO-792--
13,CORRALILLO-794--
12,CORRALILLO-795--
2,CORRALILLO-8--
1,CORRALILLO-801--
14,CORRALILLO-804--
14,CORRALILLO-811--
13,CORRALILLO-813--
9,CORRALILLO-835--
14,CORRALILLO-836--
14,CORRALILLO-84--
14,CORRALILLO-852--
14,CORRALILLO-86--
14,CORRALILLO-860--
13,CORRALILLO-874--
13,CORRALILLO-878--
14,CORRALILLO-88--
14,CORRALILLO-880--
14,CORRALILLO-891--
13,COSTERO-1--
1,COSTERO-1001--
14,COSTERO-12--
14,COSTERO-14--
14,COSTERO-16--
14,COSTERO-17--
13,COSTERO-18--
14,COSTERO-19--
14,COSTERO-2--
11,COSTERO-28--
14,COSTERO-31--
14,COSTERO-35--
13,COSTERO-4--
14,COSTERO-6--
14,COSTERO-7--
14,COSTERO-8--
13,COUGAR-1--
13,COUGAR-12--
14,COUGAR-121--
13,COUGAR-2--
13,COUGAR-21--
13,COUGAR-41--
13,COUGAR-61--
14,COUGAR-81--
3,COYOL-1795--
14,COYOL-1827--
14,COYOL-1829--
3,COYOL-1839--
13,COYOL-1843--
1,COYOL-1847--
1,COYOL-1849--
14,COYOL-1861--
14,COYOL-1863--
14,COYOL-1865--
13,COYOL-1881--
14,COYOL-1883--
12,COYOL-1885--
14,COYOL-1891--
12,COYOL-2--
1,COYOL-2379--
1,COYOL-2396--
13,COYOL-2516--
3,COYOL-2601--
14,COYOL-2606--
14,COYOL-2611--
14,COYOL-2612--
14,COYOL-2613--
13,COYOL-2616--
14,COYOL-2628--
14,COYOL-2631--
14,COYOL-2632--
14,COYOL-2633--
14,COYOL-2634--
5,COYOL-2635--
1,COYOL-2636--
13,COYOL-2638--
14,COYOL-2646--
12,COYOL-2651--
3,COYOL-2652--
1,COYOL-2653--
13,COYOL-2654--
8,COYOL-2655--
14,COYOL-2656--
14,COYOL-2657--
3,COYOL-2658--
14,COYOL-2666--
13,COYOL-2668--
1,COYOL-2671--
13,COYOL-2673--
13,COYOL-2674--
14,COYOL-2675--
13,COYOL-2677--
14,COYOL-2691--
1,COYOL-2693--
14,COYOL-2695--
13,COYOL-2701--
14,COYOL-2721--
14,COYOL-2722--
14,COYOL-2724--
14,COYOL-2741--
14,COYOL-2744--
14,COYOL-2761--
12,COYOL-2762--
14,COYOL-2764--
1,COYOL-2766--
14,COYOL-2784--
12,COYOL-3--
3,COYOL-422--
13,COYOL-433--
3,COYOL-447--
13,COYOL-457--
12,COYOL-459--
12,COYOL-461--
12,COYOL-5202--
14,COYOL-5203--
14,COYOL-5204--
12,COYOL-5212--
14,COYOL-5213--
13,COYOL-5215--
14,COYOL-5232--
14,COYOL-5233--
13,COYOL-5235--
14,COYOL-5237--
14,COYOL-5239--
14,COYOL-5251--
13,COYOL-5253--
14,COYOL-5259--
14,COYOL-5273--
14,COYOL-5291--
14,COYOL-5293--
1,COYOL-5295--
9,COYOL-6002--
13,COYOL-6054--
14,COYOL-6056--
14,COYOL-6058--
14,COYOL-6074--
14,COYOL-6076--
14,COYOL-6077--
10,COYOL-6078--
14,COYOL-6079--
13,COYOL-6096--
14,COYOL-6097--
14,COYOTES-1--
14,COYOTES-106--
13,COYOTES-122--
14,COYOTES-123--
14,COYOTES-141--
8,COYOTES-143--
1,COYOTES-145--
14,COYOTES-146--
12,COYOTES-148--
14,COYOTES-158--
14,COYOTES-161--
14,COYOTES-162--
13,COYOTES-163--
14,COYOTES-164--
14,COYOTES-176--
13,COYOTES-178--
14,COYOTES-182--
14,COYOTES-184--
14,COYOTES-186--
9,COYOTES-188--
14,COYOTES-19--
14,COYOTES-196--
14,COYOTES-198--
13,COYOTES-204--
10,COYOTES-213--
2,COYOTES-217--
10,COYOTES-218--
14,COYOTES-221--
12,COYOTES-23--
5,COYOTES-231--
13,COYOTES-233--
14,COYOTES-235--
14,COYOTES-252--
14,COYOTES-253--
13,COYOTES-255--
3,COYOTES-256--
12,COYOTES-271--
13,COYOTES-273--
13,COYOTES-276--
14,COYOTES-276D-
5,COYOTES-279--
14,COYOTES-291--
13,COYOTES-293--
14,COYOTES-295--
2,COYOTES-311--
14,COYOTES-312--
14,COYOTES-318--
14,COYOTES-331--
14,COYOTES-332--
14,COYOTES-333--
2,COYOTES-337--
7,COYOTES-341--
14,COYOTES-342--
14,COYOTES-351--
14,COYOTES-353--
14,COYOTES-361--
14,COYOTES-362--
14,COYOTES-364--
14,COYOTES-382--
14,COYOTES-384--
14,COYOTES-399--
14,COYOTES-401--
14,COYOTES-402--
14,COYOTES-404--
13,COYOTES-405--
7,COYOTES-407--
14,COYOTES-411--
14,COYOTES-412--
8,COYOTES-413--
4,COYOTES-415--
14,COYOTES-417--
14,COYOTES-419--
5,COYOTES-421--
14,COYOTES-422--
7,COYOTES-423--
14,COYOTES-423D-
12,COYOTES-424--
14,COYOTES-425--
14,COYOTES-427--
13,COYOTES-429--
14,COYOTES-431--
14,COYOTES-432--
3,COYOTES-433--
14,COYOTES-435--
14,COYOTES-437-A
14,COYOTES-439--
14,COYOTES-441--
14,COYOTES-442--
14,COYOTES-443--
14,COYOTES-444--
14,COYOTES-445--
14,COYOTES-447--
5,COYOTES-449--
14,COYOTES-451--
14,COYOTES-452--
14,COYOTES-453--
2,COYOTES-455--
2,COYOTES-457--
14,COYOTES-461--
14,COYOTES-462--
14,COYOTES-463--
5,COYOTES-464--
14,COYOTES-465--
14,COYOTES-467--
14,COYOTES-469--
14,COYOTES-471--
14,COYOTES-473--
9,COYOTES-475--
14,COYOTES-477--
14,COYOTES-481--
14,COYOTES-482--
14,COYOTES-483--
14,COYOTES-484--
14,COYOTES-485--
5,COYOTES-486--
13,COYOTES-487--
6,COYOTES-489--
2,COYOTES-495--
14,COYOTES-497--
14,COYOTES-497D-
14,COYOTES-499--
14,COYOTES-527--
13,COYOTES-561--
14,COYOTES-59--
14,COYOTES-69--
14,COYOTES-749--
14,COYOTES-787--
12,COYOTES-789--
14,COYOTES-79--
1,COYOTES-81--
14,COYULA-1--
14,COYULA-1002--
1,COYULA-1008--
12,COYULA-1011--
1,COYULA-1012--
3,COYULA-1013--
14,COYULA-1014--
14,COYULA-1016--
12,COYULA-1018--
14,COYULA-1019--
12,COYULA-1026--
1,COYULA-1028--
14,COYULA-1031--
12,COYULA-1033--
12,COYULA-1034--
1,COYULA-1036--
5,COYULA-1038--
1,COYULA-1048--
1,COYULA-1051--
14,COYULA-1053--
12,COYULA-1055--
3,COYULA-1061--
14,COYULA-1066--
1,COYULA-1068--
13,COYULA-1077--
14,COYULA-1078--
1,COYULA-1084--
1,COYULA-1085--
14,COYULA-1092--
13,COYULA-1096--
1,COYULA-1098--
12,COYULA-1146--
3,COYULA-1166--
14,COYULA-1168--
14,COYULA-1184--
1,COYULA-1309--
10,COYULA-1325--
14,COYULA-1354--
13,COYULA-1355--
12,COYULA-1392--
13,COYULA-1399--
13,COYULA-1406--
11,COYULA-1426--
1,COYULA-1436--
13,COYULA-1448--
10,COYULA-1456--
14,COYULA-1478--
12,COYULA-1496--
14,COYULA-1623--
14,COYULA-1629--
14,COYULA-1647--
14,COYULA-1649--
14,COYULA-1662--
14,COYULA-1663--
14,COYULA-1667--
14,COYULA-1669--
14,COYULA-1682--
14,COYULA-1687--
13,COYULA-1689--
9,COYULA-1704--
13,COYULA-1706--
12,COYULA-1708--
14,COYULA-1714--
14,COYULA-1724--
14,COYULA-1726--
14,COYULA-1728--
13,COYULA-1734--
11,COYULA-1736--
13,COYULA-1746--
12,COYULA-1754--
13,COYULA-1756--
13,COYULA-1764--
14,COYULA-1766--
12,COYULA-1768--
13,COYULA-1774--
13,COYULA-1784--
13,COYULA-1786--
14,COYULA-1788--
1,COYULA-207--
13,COYULA-209--
13,COYULA-219--
1,COYULA-227--
9,COYULA-229--
9,COYULA-271--
12,COYULA-273--
1,COYULA-275--
14,COYULA-293--
1,COYULA-295-A
10,COYULA-297--
13,COYULA-3126--
14,COYULA-3144--
14,COYULA-4016--
12,COYULA-405--
1,CRATER-13--
14,CRATER-91--
14,CUATRO MILPAS-10--
14,CUATRO MILPAS-101--
14,CUATRO MILPAS-101D-
1,CUATRO MILPAS-102--
14,CUATRO MILPAS-105--
14,CUATRO MILPAS-108--
14,CUATRO MILPAS-109--
14,CUATRO MILPAS-11--
14,CUATRO MILPAS-110--
14,CUATRO MILPAS-111--
13,CUATRO MILPAS-112--
14,CUATRO MILPAS-113--
14,CUATRO MILPAS-114--
14,CUATRO MILPAS-115--
14,CUATRO MILPAS-117--
13,CUATRO MILPAS-118--
14,CUATRO MILPAS-121--
14,CUATRO MILPAS-122--
13,CUATRO MILPAS-123--
14,CUATRO MILPAS-124--
13,CUATRO MILPAS-125--
13,CUATRO MILPAS-126--
13,CUATRO MILPAS-127--
14,CUATRO MILPAS-128--
14,CUATRO MILPAS-129--
14,CUATRO MILPAS-130--
14,CUATRO MILPAS-131--
13,CUATRO MILPAS-132--
14,CUATRO MILPAS-136--
14,CUATRO MILPAS-137--
13,CUATRO MILPAS-138--
14,CUATRO MILPAS-139--
14,CUATRO MILPAS-140--
14,CUATRO MILPAS-141--
14,CUATRO MILPAS-142--
14,CUATRO MILPAS-143--
14,CUATRO MILPAS-144--
14,CUATRO MILPAS-145--
14,CUATRO MILPAS-146--
14,CUATRO MILPAS-147--
14,CUATRO MILPAS-148--
13,CUATRO MILPAS-149--
14,CUATRO MILPAS-15--
14,CUATRO MILPAS-150--
14,CUATRO MILPAS-151--
14,CUATRO MILPAS-155--
14,CUATRO MILPAS-156--
14,CUATRO MILPAS-157--
14,CUATRO MILPAS-158--
14,CUATRO MILPAS-159--
14,CUATRO MILPAS-16--
14,CUATRO MILPAS-160--
14,CUATRO MILPAS-161--
14,CUATRO MILPAS-162--
14,CUATRO MILPAS-163--
14,CUATRO MILPAS-164--
14,CUATRO MILPAS-165--
14,CUATRO MILPAS-168--
1,CUATRO MILPAS-17--
14,CUATRO MILPAS-170--
14,CUATRO MILPAS-171--
14,CUATRO MILPAS-173--
14,CUATRO MILPAS-174--
14,CUATRO MILPAS-175--
14,CUATRO MILPAS-176--
14,CUATRO MILPAS-177--
13,CUATRO MILPAS-179--
14,CUATRO MILPAS-18--
14,CUATRO MILPAS-180--
14,CUATRO MILPAS-182--
14,CUATRO MILPAS-183--
14,CUATRO MILPAS-184--
14,CUATRO MILPAS-185--
14,CUATRO MILPAS-186--
14,CUATRO MILPAS-187--
14,CUATRO MILPAS-189--
13,CUATRO MILPAS-19--
13,CUATRO MILPAS-200--
13,CUATRO MILPAS-202--
14,CUATRO MILPAS-203--
14,CUATRO MILPAS-204--
14,CUATRO MILPAS-204D-
13,CUATRO MILPAS-205--
11,CUATRO MILPAS-206--
14,CUATRO MILPAS-207--
14,CUATRO MILPAS-21--
13,CUATRO MILPAS-210--
14,CUATRO MILPAS-213--
14,CUATRO MILPAS-215--
14,CUATRO MILPAS-22--
14,CUATRO MILPAS-222--
14,CUATRO MILPAS-23--
14,CUATRO MILPAS-233--
14,CUATRO MILPAS-236--
14,CUATRO MILPAS-237--
14,CUATRO MILPAS-240--
14,CUATRO MILPAS-241--
14,CUATRO MILPAS-243--
14,CUATRO MILPAS-244--
14,CUATRO MILPAS-280--
14,CUATRO MILPAS-300--
14,CUATRO MILPAS-311--
14,CUATRO MILPAS-312--
14,CUATRO MILPAS-313--
14,CUATRO MILPAS-314--
14,CUATRO MILPAS-315--
14,CUATRO MILPAS-316--
14,CUATRO MILPAS-317--
14,CUATRO MILPAS-318--
14,CUATRO MILPAS-319--
14,CUATRO MILPAS-320--
14,CUATRO MILPAS-321--
14,CUATRO MILPAS-322--
14,CUATRO MILPAS-323--
11,CUATRO MILPAS-331--
1,CUATRO MILPAS-6--
14,CUATRO MILPAS-8--
14,CUATRO MILPAS-9--
14,CUCAÑA-1--
14,CUCAÑA-1001--
14,CUERVITO-1002--
14,CUERVITO-1003--
14,CUERVITO-1004--
14,CUERVITO-1005--
13,CUERVITO-1006--
14,CUERVITO-1008--
14,CUERVITO-1009--
14,CUERVITO-1010--
14,CUERVITO-1012--
13,CUERVITO-1013--
14,CUERVITO-1014--
14,CUERVITO-1015--
1,CUERVITO-1017--
14,CUERVITO-1018--
14,CUERVITO-1019--
14,CUERVITO-1020--
14,CUERVITO-1021--
14,CUERVITO-1022--
14,CUERVITO-1024--
14,CUERVITO-1025--
14,CUERVITO-1028--
14,CUERVITO-1029--
1,CUERVITO-1030--
14,CUERVITO-1031--
14,CUERVITO-1032--
14,CUERVITO-1033--
14,CUERVITO-1048--
14,CUERVITO-1052--
14,CUERVITO-1054--
14,CUERVITO-1056--
14,CUERVITO-1057--
14,CUERVITO-1064--
14,CUERVITO-1071--
14,CUERVITO-1074--
14,CUERVITO-1076--
14,CUERVITO-1079--
14,CUERVITO-1080--
14,CUERVITO-1081--
14,CUERVITO-1082--
14,CUERVITO-1083--
14,CUERVITO-1085--
14,CUERVITO-1090--
14,CUERVITO-1105--
14,CUERVITO-1107--
14,CUERVITO-1108--
14,CUERVITO-1109--
14,CUERVITO-1110--
14,CUERVITO-1111--
14,CUERVITO-1112--
14,CUERVITO-1113--
14,CUERVITO-1115--
14,CUERVITO-1116--
14,CUERVITO-1124--
14,CUERVITO-1125--
14,CUERVITO-1128--
14,CUERVITO-1131--
14,CUERVITO-1132--
14,CUERVITO-1133--
14,CUERVITO-1134--
14,CUERVITO-1135--
14,CUERVITO-1137--
14,CUERVITO-1138--
14,CUERVITO-1141--
14,CUERVITO-1147--
14,CUERVITO-1152--
14,CUERVITO-1156--
14,CUERVITO-1157--
14,CUERVITO-1158--
14,CUERVITO-1159--
14,CUERVITO-1170--
14,CUERVITO-1185--
14,CUERVITO-200--
14,CUERVITO-201--
14,CUERVITO-201-A
14,CUERVITO-223--
14,CUERVITO-303--
14,CUERVITO-304--
14,CUERVITO-305--
14,CUERVITO-306--
14,CUERVITO-307--
14,CUERVITO-308--
14,CUERVITO-311--
14,CUERVITO-367--
1,CUERVITO-368--
14,CUERVITO-369H-
14,CUERVITO-402--
14,CUERVITO-404--
14,CUERVITO-406--
14,CUERVITO-407--
14,CUERVITO-408--
13,CUERVITO-409--
14,CUERVITO-420--
14,CUERVITO-421--
14,CUERVITO-427--
13,CUERVITO-428--
14,CUERVITO-431--
14,CUERVITO-7--
5,CUICHAPA-124D-
5,CUICHAPA-128--
5,CUICHAPA-213--
5,CUICHAPA-331--
5,CUICHAPA-364--
5,CUICHAPA-367--
5,CUICHAPA-373--
5,CUICHAPA-502--
5,CUICHAPA-504--
13,CUITLAHUAC-1018--
13,CUITLAHUAC-1019--
14,CUITLAHUAC-1020--
14,CUITLAHUAC-1022--
14,CUITLAHUAC-1025--
14,CUITLAHUAC-1031--
14,CUITLAHUAC-1033--
14,CUITLAHUAC-1034--
14,CUITLAHUAC-1039--
14,CUITLAHUAC-1041--
14,CUITLAHUAC-1054--
14,CUITLAHUAC-1062--
14,CUITLAHUAC-1086--
14,CUITLAHUAC-1087--
14,CUITLAHUAC-1089--
14,CUITLAHUAC-1091--
14,CUITLAHUAC-366--
14,CUITLAHUAC-372--
14,CUITLAHUAC-381--
14,CUITLAHUAC-382--
14,CUITLAHUAC-383--
14,CUITLAHUAC-384--
14,CUITLAHUAC-386--
14,CUITLAHUAC-388--
1,CUITLAHUAC-392--
14,CUITLAHUAC-393--
14,CUITLAHUAC-394--
14,CUITLAHUAC-396--
14,CUITLAHUAC-398--
14,CUITLAHUAC-399--
14,CUITLAHUAC-40--
14,CUITLAHUAC-422--
14,CUITLAHUAC-423--
14,CUITLAHUAC-426--
14,CUITLAHUAC-441--
14,CUITLAHUAC-443--
14,CUITLAHUAC-445--
14,CUITLAHUAC-460--
13,CUITLAHUAC-466--
14,CUITLAHUAC-467--
14,CUITLAHUAC-470--
14,CUITLAHUAC-475--
14,CUITLAHUAC-476--
14,CUITLAHUAC-477--
14,CUITLAHUAC-478--
14,CUITLAHUAC-479--
14,CUITLAHUAC-480--
14,CUITLAHUAC-487--
5,CUITLAHUAC-489--
14,CUITLAHUAC-502--
14,CUITLAHUAC-504--
14,CUITLAHUAC-509--
14,CUITLAHUAC-510--
14,CUITLAHUAC-513--
14,CUITLAHUAC-516--
14,CUITLAHUAC-517--
14,CUITLAHUAC-518--
14,CUITLAHUAC-520--
14,CUITLAHUAC-521--
14,CUITLAHUAC-523--
14,CUITLAHUAC-524--
14,CUITLAHUAC-525--
14,CUITLAHUAC-526--
1,CUITLAHUAC-529--
14,CUITLAHUAC-530--
14,CUITLAHUAC-532--
14,CUITLAHUAC-533--
14,CUITLAHUAC-534--
14,CUITLAHUAC-561--
14,CUITLAHUAC-563--
13,CUITLAHUAC-571--
14,CUITLAHUAC-590--
14,CUITLAHUAC-591--
14,CUITLAHUAC-591D-
14,CUITLAHUAC-600--
14,CUITLAHUAC-602D-
14,CUITLAHUAC-606--
14,CUITLAHUAC-607--
14,CUITLAHUAC-608--
14,CUITLAHUAC-633--
14,CUITLAHUAC-635--
14,CUITLAHUAC-638--
14,CUITLAHUAC-640--
14,CUITLAHUAC-643--
13,CUITLAHUAC-650--
14,CUITLAHUAC-656--
14,CUITLAHUAC-657--
14,CUITLAHUAC-658--
14,CUITLAHUAC-660--
9,CUITLAHUAC-663--
14,CUITLAHUAC-675--
14,CUITLAHUAC-677--
14,CUITLAHUAC-678--
1,CUITLAHUAC-690--
14,CUITLAHUAC-694--
14,CUITLAHUAC-695--
14,CUITLAHUAC-697--
14,CUITLAHUAC-700--
14,CUITLAHUAC-703--
14,CUITLAHUAC-714--
14,CUITLAHUAC-716--
14,CUITLAHUAC-718--
5,CUITLAHUAC-719--
14,CUITLAHUAC-720--
14,CUITLAHUAC-721--
14,CUITLAHUAC-731--
14,CUITLAHUAC-741--
13,CUITLAHUAC-750--
14,CUITLAHUAC-751--
14,CUITLAHUAC-761--
14,CUITLAHUAC-763--
14,CUITLAHUAC-770--
14,CUITLAHUAC-771D-
14,CUITLAHUAC-772--
14,CUITLAHUAC-773--
14,CUITLAHUAC-775--
14,CUITLAHUAC-777--
14,CUITLAHUAC-779--
14,CUITLAHUAC-780--
14,CUITLAHUAC-782--
14,CUITLAHUAC-783--
14,CUITLAHUAC-785--
14,CUITLAHUAC-786--
14,CUITLAHUAC-787--
14,CUITLAHUAC-791--
14,CUITLAHUAC-802--
14,CUITLAHUAC-805--
14,CUITLAHUAC-806--
14,CUITLAHUAC-807--
1,CUITLAHUAC-809--
14,CUITLAHUAC-815--
14,CUITLAHUAC-817--
14,CUITLAHUAC-818--
14,CUITLAHUAC-819--
13,CUITLAHUAC-822--
14,CUITLAHUAC-826--
14,CUITLAHUAC-827--
13,CUITLAHUAC-831--
14,CUITLAHUAC-833--
14,CUITLAHUAC-836--
14,CUITLAHUAC-838--
14,CUITLAHUAC-840--
14,CUITLAHUAC-841--
14,CUITLAHUAC-842--
14,CUITLAHUAC-843--
14,CUITLAHUAC-846--
14,CUITLAHUAC-848--
14,CUITLAHUAC-849--
14,CUITLAHUAC-851--
13,CUITLAHUAC-857--
14,CUITLAHUAC-862--
14,CUITLAHUAC-863--
14,CUITLAHUAC-864D-
13,CUITLAHUAC-866--
14,CUITLAHUAC-868--
14,CUITLAHUAC-869--
14,CUITLAHUAC-872--
13,CUITLAHUAC-876--
14,CUITLAHUAC-877--
14,CUITLAHUAC-879--
14,CUITLAHUAC-881--
14,CUITLAHUAC-883--
14,CUITLAHUAC-884--
14,CUITLAHUAC-885--
14,CUITLAHUAC-886--
14,CUITLAHUAC-887--
14,CUITLAHUAC-888--
14,CUITLAHUAC-889--
14,CUITLAHUAC-890--
14,CUITLAHUAC-891--
14,CUITLAHUAC-892--
13,CUITLAHUAC-893--
14,CUITLAHUAC-895--
14,CUITLAHUAC-896--
14,CUITLAHUAC-897--
14,CUITLAHUAC-898--
14,CUITLAHUAC-899--
14,CUITLAHUAC-900--
14,CUITLAHUAC-901--
14,CUITLAHUAC-902--
13,CUITLAHUAC-905--
14,CUITLAHUAC-907--
14,CUITLAHUAC-911--
14,CUITLAHUAC-912--
14,CUITLAHUAC-913--
14,CUITLAHUAC-914--
14,CUITLAHUAC-915--
14,CUITLAHUAC-919--
14,CUITLAHUAC-920--
13,CUITLAHUAC-947--
14,CUITLAHUAC-949--
14,CUITLAHUAC-951--
14,CUITLAHUAC-952--
14,CUITLAHUAC-961--
13,CUITLAHUAC-962--
1,CUITLAHUAC-963--
14,CUITLAHUAC-964--
14,CUITLAHUAC-966--
14,CUITLAHUAC-969--
13,CUITLAHUAC-970--
14,CUITLAHUAC-978--
14,CUITLAHUAC-985--
14,CUITLAHUAC-987--
14,CUITLAHUAC-992--
14,CUITLAHUAC-993--
14,CUITLAHUAC-995--
