observaciones,pozos
1,AGUA FRIA-544--
1,AGUA FRIA-545--
3,AGUA FRIA-546--
14,AGUA FRIA-547--
1,AGUA FRIA-548--
14,AGUA FRIA-549--
14,AGUA FRIA-551--
14,AGUA FRIA-552--
14,AGUA FRIA-554--
14,AGUA FRIA-557--
14,AGUA FRIA-559--
14,AGUA FRIA-561--
14,AGUA FRIA-563--
14,AGUA FRIA-564--
14,AGUA FRIA-5640--
14,AGUA FRIA-565--
14,AGUA FRIA-566--
3,AGUA FRIA-567--
14,AGUA FRIA-568--
14,AGUA FRIA-569--
13,AGUA FRIA-571--
11,AGUA FRIA-572--
3,AGUA FRIA-573--
12,AGUA FRIA-574--
14,AGUA FRIA-577--
14,AGUA FRIA-579--
14,AGUA FRIA-581--
14,AGUA FRIA-582--
14,AGUA FRIA-583--
14,AGUA FRIA-584--
14,AGUA FRIA-585--
1,AGUA FRIA-586--
14,AGUA FRIA-5860--
14,AGUA FRIA-587--
14,AGUA FRIA-588--
13,AGUA FRIA-59--
3,AGUA FRIA-591--
14,AGUA FRIA-593--
12,AGUA FRIA-594--
13,AGUA FRIA-595--
12,AGUA FRIA-6--
14,AGUA FRIA-602--
13,AGUA FRIA-604--
9,AGUA FRIA-605--
13,AGUA FRIA-606--
8,AGUA FRIA-607--
3,AGUA FRIA-608--
13,AGUA FRIA-609--
3,AGUA FRIA-611--
13,AGUA FRIA-612--
14,AGUA FRIA-614--
13,AGUA FRIA-616--
1,AGUA FRIA-618--
13,AGUA FRIA-622--
14,AGUA FRIA-623--
13,AGUA FRIA-624--
14,AGUA FRIA-625--
14,AGUA FRIA-626--
14,AGUA FRIA-627--
14,AGUA FRIA-628--
14,AGUA FRIA-629--
13,AGUA FRIA-631--
14,AGUA FRIA-632--
3,AGUA FRIA-634--
12,AGUA FRIA-636--
1,AGUA FRIA-637--
14,AGUA FRIA-638--
13,AGUA FRIA-639--
10,AGUA FRIA-642--
12,AGUA FRIA-643--
13,AGUA FRIA-644--
8,AGUA FRIA-645--
14,AGUA FRIA-646--
10,AGUA FRIA-647--
14,AGUA FRIA-648--
13,AGUA FRIA-649--
12,AGUA FRIA-651--
14,AGUA FRIA-652--
14,AGUA FRIA-654--
14,AGUA FRIA-655--
10,AGUA FRIA-656--
1,AGUA FRIA-657--
14,AGUA FRIA-658--
7,AGUA FRIA-659--
10,AGUA FRIA-66--
14,AGUA FRIA-661--
12,AGUA FRIA-662--
12,AGUA FRIA-663--
13,AGUA FRIA-664--
14,AGUA FRIA-665--
12,AGUA FRIA-666--
14,AGUA FRIA-667--
12,AGUA FRIA-668--
13,AGUA FRIA-671--
12,AGUA FRIA-672--
14,AGUA FRIA-674--
12,AGUA FRIA-676--
10,AGUA FRIA-678--
13,AGUA FRIA-679--
1,AGUA FRIA-68--
14,AGUA FRIA-681--
14,AGUA FRIA-682--
13,AGUA FRIA-683--
12,AGUA FRIA-684--
